#MCM,FeatureBits,PROJECT_NAME,REGISTER_NAME,REGISTER_FEATURE_NAME,MP,TAG1,TAG2,FEATURE_STATUS1,FEATURE_STATUS2
NO,64,Rembrandt,DC_BTC_DONE,DC_BTC,mp1fw,1,0,ENABLED,DISABLED
NO,64,Rembrandt,CCLK_CPBCAPDIS,CPB,mp1fw,0,1,ENABLED,DISABLED
NO,64,Rembrandt,VOLTAGE_ZEROVID,VDDOFF Voltage,mp1fw,VID,NA,NA,NA
NO,64,Rembrandt,CCLK_L3_VDCI_ASYNC,VDCI,mp1fw,0,1,Predictive Mode,Async Mode
NO,64,Rembrandt,CCLK_L3_FLLBTCCOMPLETED,FLL BTC,mp1fw,1,0,ENABLED,DISABLED
NO,64,Rembrandt,BIOSINTERFACETABLE_VDDMCLDOOVDETEN,VDDM_CLDO_OVDET,mp1fw,1,0,ENABLED,DISABLED
NO,64,Rembrandt,BIOSINTERFACETABLE_VDDMCLDOFASTSTARTUPEN,VDDM_CLDO_FAST_STARTUP,mp1fw,1,0,ENABLED,DISABLED
YES,32,Chagall,DC_BTC_Done,DC_BTC,mp1fw,1,0,ENABLED,DISABLED
YES,32,Chagall,Cclk_L3_FllBtcCompleted,L3_FLL_BTC,mp5fw,1,0,ENABLED,DISABLED
YES,32,Chagall,PPTable_CCX_VdciAsync,VDCI,mp1fw,0,1,Predictive Mode,Async Mode
YES,32,Chagall,SOC_DC_BTC_Done,SOC_DC_BTC,mp1fw,1,0,ENABLED,DISABLED
YES,32,Chagall,Cclk_FddBtcVRef,FDD_BTC,mp1fw,0,1,DISABLED,ENABLED
YES,64,Raphael,PPTable_CCX_VdciAsync,VDCI,mp1fw,0,1,Predictive Mode,Async Mode
YES,64,Raphael,Cclk_L3_0_FllBtcCompleted,L3_FLL_BTC,mp5fw,1,0,ENABLED,DISABLED
NO,64,Mendocino,DC_BTC_DONE,DC_BTC,mp1fw,1,0,ENABLED,DISABLED
NO,64,Mendocino,CCLK_CPBCAPDIS,CPB,mp1fw,0,1,ENABLED,DISABLED
NO,64,Mendocino,VOLTAGE_ZEROVID,VDDOFF Voltage,mp1fw,VID,NA,NA,NA
NO,64,Mendocino,CCLK_L3_VDCI_ASYNC,VDCI,mp1fw,0,1,Predictive Mode,Async Mode
